,img_name,img_path,object_path
94,000190.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000190.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000190.npy
95,000192.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000192.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000192.npy
96,000193.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000193.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000193.npy
97,000194.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000194.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000194.npy
98,000198.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000198.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000198.npy
99,000200.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000200.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000200.npy
100,000203.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000203.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000203.npy
101,000207.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000207.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000207.npy
102,000208.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000208.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000208.npy
103,000209.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000209.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000209.npy
104,000210.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000210.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000210.npy
105,000211.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000211.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000211.npy
106,000214.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000214.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000214.npy
107,000215.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000215.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000215.npy
108,000218.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000218.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000218.npy
109,000219.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000219.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000219.npy
110,000220.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000220.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000220.npy
111,000221.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000221.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000221.npy
112,000222.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000222.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000222.npy
113,000224.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000224.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000224.npy
114,000225.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000225.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000225.npy
115,000228.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000228.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000228.npy
116,000229.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000229.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000229.npy
117,000232.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000232.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000232.npy
118,000233.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000233.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000233.npy
119,000235.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000235.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000235.npy
120,000236.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000236.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000236.npy
121,000241.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000241.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000241.npy
122,000242.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000242.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000242.npy
123,000244.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000244.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000244.npy
124,000245.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000245.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000245.npy
125,000246.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000246.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000246.npy
126,000249.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000249.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000249.npy
127,000250.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000250.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000250.npy
128,000251.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000251.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000251.npy
129,000256.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000256.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000256.npy
130,000257.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000257.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000257.npy
131,000259.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000259.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000259.npy
132,000262.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000262.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000262.npy
133,000263.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000263.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000263.npy
134,000266.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000266.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000266.npy
135,000268.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000268.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000268.npy
136,000269.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000269.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000269.npy
137,000270.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000270.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000270.npy
138,000275.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000275.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000275.npy
139,000276.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000276.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000276.npy
140,000278.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000278.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000278.npy
141,000282.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000282.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000282.npy
142,000285.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000285.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000285.npy
143,000288.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000288.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000288.npy
144,000289.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000289.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000289.npy
145,000294.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000294.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000294.npy
146,000296.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000296.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000296.npy
147,000298.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000298.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000298.npy
148,000302.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000302.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000302.npy
149,000303.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000303.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000303.npy
150,000304.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000304.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000304.npy
151,000305.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000305.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000305.npy
152,000306.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000306.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000306.npy
153,000307.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000307.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000307.npy
154,000308.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000308.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000308.npy
155,000311.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000311.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000311.npy
156,000312.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000312.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000312.npy
157,000317.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000317.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000317.npy
158,000318.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000318.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000318.npy
159,000320.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000320.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000320.npy
160,000321.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000321.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000321.npy
161,000322.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000322.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000322.npy
162,000323.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000323.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000323.npy
163,000325.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000325.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000325.npy
164,000328.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000328.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000328.npy
165,000329.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000329.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000329.npy
166,000331.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000331.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000331.npy
167,000332.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000332.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000332.npy
168,000334.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000334.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000334.npy
169,000336.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000336.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000336.npy
170,000337.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000337.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000337.npy
171,000338.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000338.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000338.npy
172,000340.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000340.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000340.npy
173,000343.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000343.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000343.npy
174,000344.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000344.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000344.npy
175,000347.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000347.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000347.npy
176,000349.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000349.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000349.npy
177,000352.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000352.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000352.npy
178,000354.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000354.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000354.npy
179,000355.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000355.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000355.npy
180,000359.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000359.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000359.npy
181,000363.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000363.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000363.npy
182,000367.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000367.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000367.npy
183,000370.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000370.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000370.npy
184,000372.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000372.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000372.npy
185,000373.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000373.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000373.npy
186,000374.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000374.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000374.npy
187,000379.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000379.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000379.npy
188,000380.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000380.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000380.npy
189,000381.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000381.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000381.npy
190,000382.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000382.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000382.npy
191,000387.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000387.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000387.npy
192,000391.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000391.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000391.npy
193,000394.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000394.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000394.npy
194,000395.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000395.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000395.npy
195,000396.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000396.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000396.npy
196,000400.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000400.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000400.npy
197,000403.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000403.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000403.npy
198,000404.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000404.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000404.npy
